a_b	a_c	b_d	c_d
Are you practical?	He's very practical, isn't he?	He's very knowledgeable, isn't he?	He is very knowledgeable on the subject.
Think, then speak.	Think first before you speak.	You should always think before speaking.	You should think before you speak.
Ziri is a pianist.	Ziri can play music.	Ziri is here to perform.	Ziri came here to sing.
Are you proactive?	We need to be proactive.	We need some action.	We need more action.
He has nightmares.	He had nightmares.	He dreamed that he was dreaming.	She dreamed that she was dreaming.
Ziri is a sheriff.	Ziri is a gendarme.	Ziri is a colonel.	Ziri is a paratrooper.
Ziri is a general.	Ziri is a gendarme.	Ziri is a colonel.	Ziri is a state trooper.
Ziri is a colonel.	Ziri is a Navy Seal.	Ziri is a policeman.	Ziri was facing a cop.
What town is this?	What is the name of this village?	The house is in the village.	My house is in a village.
What city is this?	This city is in the United States.	The city covers a small area.	The city consists of two parts.
Ziri is a soldier.	Ziri has a uniform.	Ziri is a co-worker.	Ziri is an office clerk.
You'll pay for it.	I'll have to pay for it.	I need to pay for that.	I'm willing to pay for it.
Ziri is a plumber.	Ziri is a carpenter.	Ziri is a plasterer.	Ziri is a woodcarver.
God hates divorce.	God doesn't have partners.	He relies totally on God.	God doesn't need anything.
Pegasus has wings.	Birds change the shape of their wings to turn and maneuver.	There are birds flying in the sky.	Birds fly in the sky.
Ziri is a tourist.	Ziri worked as a tour guide.	Ziri had a great trip.	Ziri's life was amazing.
The dog is asleep.	The dog fell asleep on the blanket.	The dog sleeps on the back of the sofa.	The cat is sleeping on the sofa.
Ziri is a fireman.	Ziri became a firefighter.	Ziri became a park ranger.	Ziri became a zoologist.
There's a draught.	Close the window. There's a draught.	Someone close the windows.	Close the windows.
Thus he succeeded.	He worked hard, so that he succeeded.	He worked hard. Otherwise he would have failed.	He worked very hard.
Stop! You strayed!	Don't let him escape!	You can't let him stay here.	We can't just let him leave.
Ziri is a dentist.	Ziri is a surgeon.	Ziri is a physiotherapist.	Ziri is a paramedic.
The food is spicy.	I can't eat food this spicy.	I hope this isn't too spicy for you.	It's too spicy for you, isn't it?
They should fight.	They've been fighting for years.	What are they fighting about?	Why are these two always fighting?
Tom didn't say so.	Tom said that wasn't the case.	Tom said that's just not true.	Tom says that's not true.
I always meditate.	Listen to guided meditation.	Pray without ceasing.	Listen to guided breathing exercises.
Ziri became a vet.	Ziri became a doctor.	Ziri became a pharmacist.	Ziri became a pharmaceutical consultant.
Ziri became a cop.	Ziri is a policeman.	Ziri is not a police officer.	Ziri is not a slave.
Ziri is a visitor.	Ziri was accompanied.	Ziri continued to come.	Ziri got involved.
Tom has a rowboat.	Here's a picture of Tom rowing a boat.	Tom used to be a tugboat captain.	Tom used to be a welder.
Come look at this.	Come and see this.	Dude, you got to come see this.	You should come see this.
Tom has moved out.	Tom has moved out of town.	Tom doesn't come around anymore. Maybe he's moved to a different city.	Tom is still out of town.
Give Tom his keys.	Tell Tom I don't have his keys.	Tom has a key to my house.	Tom knows where my house is.
Ziri stopped Rima.	Ziri blocked Rima on everything.	Ziri almost got Rima into trouble.	Ziri was horrible to Rima.
I'll give it a go.	OK, I'll give it a shot.	We'll give it a try.	We can give it a try.
I'll give you $30.	I'll give you thirty dollars for that.	I've got 30 dollars in my wallet.	I just wanted thirty dollars.
Ziri invited Rima.	Ziri invited Rima to the party.	Ziri picked up Rima from the party.	Ziri came to pick Rima up.
Just give it time.	Give it some time.	Just give it a chance.	Just give it a little time.
The coffee is hot.	The coffee is cold.	He is getting some coffee.	He wants some coffee.
They gave it back.	They said it belonged to them.	They said it was them who did that.	They said that they knew who did that.
Ziri was insecure.	Ziri got defensive.	Ziri said some very hurtful things.	Ziri got ridiculously defensive.
We gave up trying.	All our attempts failed.	Our effort ended in failure.	We did our best only to fail.
She likes a tiger.	She is fond of animals.	She likes strange animals, like snakes.	She really does like animals.
Who gave it to me?	To whom did you give it?	To whom did you give the book?	Did you send the book?
I ate okonomiyaki.	The Okonomiyaki was very delicious.	I enjoyed the meal a lot.	It was a truly superb meal.
I've been evicted.	We received an eviction notice.	He was evicted from his apartment.	He has not paid his portion of the rent.
The flower is red.	The flowers are red.	Most of the flowers in Tom's garden are red.	A lot of red flowers are blooming in the garden.
Who broke the cup?	Who broke the plate?	Who broke the window?	Who broke the window yesterday?
We met at a party.	I met her at a party.	I met her in the street.	I just met her on the street.
Why give it to me?	Do you know why I gave it to you?	Don't you want to know who I really gave that to?	I'd like to know who you gave that to.
I like funny guys.	He's handsome and funny.	He's an attractive guy.	He's tall and handsome.
Would you give up?	Are you going to give up?	You aren't asking me to give up, are you?	You aren't giving up, are you?
You gave it to me.	It was given to me.	My dad gave it to me.	My father got it for me.
Whose is this one?	Whose photo is this?	Who sent you this picture?	Who took this picture?
You gave it to us.	Who gave it to us?	Who gave this to him?	Who gave it to them?
You gave up on me.	You gave up too soon.	Why did you give up?	Why are you giving up so soon?
You never gave up.	I'll never give up.	We'll never give up.	I won't give up on us.
She is an atheist.	She believes in God.	She was born into a Christian family.	She is a Christian.
It's a rented car.	Is this your car or are you just renting it?	Does this car belong to you?!	Is that car yours?
Ziri noticed Rima.	Ziri spotted Rima.	Ziri took a quick peek at Rima.	Ziri looked for Rima.
Humility is truth.	You would be a better person if you learnt humility.	Defeat and failure make people too humble.	You can easily learn from defeat. It’s harder to learn from success.
Give me your hand.	Now give me your hands.	I want to let go of your hands now.	Take your hands off me, please.
Give me your belt.	You should put your belt on.	This belt is too tight on me.	This is a little bit too loose around my waist.
Ziri has stitches.	Ziri has problems.	Ziri is in trouble now.	Ziri is in a bad situation.
Give Daddy a kiss.	Give him a kiss for me.	I gave him a kiss on the cheek.	He kissed me on the cheek.
Ziri beat Rima up.	Ziri started beating up Rima.	Ziri started stealing Rima's money.	Ziri started acting rude to Rima.
We need an expert.	We need an expert mechanic for this job.	Just do the essential repairs, please.	We have to do that before Tom gets here.
Give it to me now.	Give it to me, please.	I will give it to you.	If you want it, I'll give it to you.
This is expensive.	These things are expensive.	It could be expensive.	It could be very costly.
Give me more time.	Just give me a little more time.	I need a little more time.	I'd like a little more time.
Ziri is a monster.	Ziri is so strong.	Ziri was a strong guy.	Ziri is super strong.
What's this noise?	What's causing the noise?	What's that noise I can hear in the background?	What's making all that noise?
Can she come, too?	Can you bring her?	Can I bring someone?	Can you bring them?
It's in the attic.	Is it still up in the attic?	Yes, it's upstairs already, because I just saw it.	Can we go upstairs?
Will you be quiet?	Would you please be quiet?	Could you be quiet?	Could you please be a little quieter?
Where's the beard?	He has a full beard.	Who's that man with a beard?	Is he the one with the beard?
Did you buy a gun?	Did you lose your gun?	Did you lose your checkbook?	Did you find your purse?
Give me some time.	Give me a little more time.	Give me a couple more hours.	Give me just a little more time.
This is my cousin.	This is my sibling.	Is this your sister?	Are you really my sister?
I found the money.	I found the wallet I thought I'd lost.	I found the keys that I thought I'd lost.	I found the wallet that I thought I'd lost.
Give me the files.	I have the file right here.	That's not in the file.	I think I mistakenly deleted that file.
Give me the knife.	Why don't you give me the knife?	Would you lend me your knife?	Could you lend me your pocket knife?
Give me the money.	I'll give you the money.	Let me give you some money.	Let me give you some cash.
Tehran is in Iran.	Tehran is the biggest town of Iran.	Iran is a shia-Muslim majority country.	Iran is the eighteenth largest country in the world.
Give me the paper.	Can you pass me some paper?	Will you look over these papers?	I have some documents that I'd like you to look at.
Give me the rifle.	Just give me my gun.	Here's a gun. I hope you aren't afraid to use it.	I don't need a gun.
Ziri punched Rima.	Ziri tried to hit Rima.	Ziri was messing with Rima.	Ziri is trying to distract Rima.
This is miserable.	I'm pretty miserable right now.	Why have you been so miserable lately?	Why are you depressed?
Ziri is a fighter.	Ziri is a champion.	Ziri is a tough guy.	Ziri is so strong.
This enraged Ziri.	This really started to bother Ziri.	Ziri was really annoyed.	This really bothered Ziri.
Give me the watch.	I lost my watch, so I have to buy one.	This is the watch that I lost a week ago.	This is the same watch that I've lost.
This is insulting.	This is disgusting.	That's really disgusting.	This is absolutely disgusting.
You can come with.	You can come with me.	You may as well come with me.	You need to come with me.
I never buy sugar.	We never use any sugar.	I do not put sugar in the coffee.	I usually don't put sugar in my coffee.
I like greengages.	I like green onions.	What vegetables do you like?	What is your favorite vegetable?
Tom grows turnips.	Tom grows his own vegetables.	Tom likes gardening.	Tom likes to garden.
This is necessary.	It's necessary to do that.	You don't have to do that, but you should.	I don't believe you really have to do that.
We had a pop quiz.	The math teacher sprang a surprise on us and gave a quiz.	We had an examination in mathematics today.	There will be a math test tomorrow.
Have they seen us?	They've spotted us.	They're looking at us.	They're all watching us.
Laurie swims well.	She says she swims well.	She says everyone she knows can swim.	She says she doesn't swim.
Nobody hugged Tom.	No one tried hugging Tom.	I've never hugged Tom.	I've never kissed Tom.
No one hugged Tom.	Nobody tried hugging Tom.	I won't ever try hugging Tom again.	I won't hug Tom anymore.
Nobody kissed Tom.	I never kissed Tom.	I only kissed Tom once.	I've never been kissed by Tom.
No one kissed Tom.	I never kissed Tom.	I only kissed Tom once.	Tom never kissed me.
Where's Lanzarote?	I went to Lanzarote last year.	I went to Chemmini.	We went there together.
You should buy it.	I suggest you buy it.	I would highly recommend it.	I definitely recommend it.
The light came on.	I turned the light on.	I got out of bed and turned on the light.	I switched on the light.
Ziri didn't reply.	Ziri never replied to that message.	Ziri never talked about that.	Ziri said that never happened.
May I see your ID?	Let me see some ID.	I can't let you in without an ID.	Proper ID is required.
Mary ate her fill.	Mary said that she was full.	Mary said she felt hungry.	Mary said that she was really hungry.
Mary did her part.	Mary did her best.	Mary did the best she could, given the situation.	Mary did the very best that she could.
Mary got her wish.	I suspect Mary got what she wanted.	Mary found what she wanted.	It looks like Mary was able to get what she wanted.
Mary hurt her leg.	Mary hurt her knee.	Mary broke her ankle.	Mary fell down and hurt her knee.
Mary hurt herself.	Mary hurt herself when she fell.	Mary hurt herself when she tried to do that.	Mary injured herself trying to do that.
Mary lost her hat.	Tom and Mary lost their hats.	Tom and Mary lost their umbrellas.	Tom and Mary lost their sunglasses.
Mary lost her job.	Mary has just lost her job.	Mary lost her job on Monday.	Mary lost her job last month.
Mary said she won.	Mary claims she won.	Mary promised she'd win.	Mary said she'd win.
Mary shot herself.	Mary shot herself this morning.	Tom and Mary shot themselves this morning.	Tom and Mary killed themselves last night.
Mary sold her car.	Mary sold her car last week.	Mary got rid of her old car.	Tom and Mary got rid of their old car.
Tom was tiptoeing.	Tom is trying to walk.	Tom has a strange way of walking.	Tom is having difficulty walking.
Why's Tom smiling?	Why isn't Tom smiling?	Why does Tom look so sad?	I wonder why Tom looks so depressed.
Ziri is a hoarder.	Ziri is throwing away money.	Ziri is saving money.	Ziri is rolling in money.
Why's Tom leaving?	Why would Tom leave?	Why did Tom want to stay?	Why does Tom want to stay?
Mary did her best.	Mary decided to do her best.	Mary wanted to do her job properly.	Mary is dedicated to her job.
You saved my hide.	Where on earth did I hide it?	Where did you hide?	Where are you hiding now?
Tom loves turnips.	Tom likes to eat radishes whole.	Tom eats just about anything.	Tom can eat just about anything.
You'll be jealous.	They'll be jealous.	They're going to get mad at me.	They're going to be furious.
The sky was clear.	The skies are clear.	The coast is clear.	The sea today is wonderfully cool and clear.
Tom saved my life.	Tom saved my son's life.	Tom was there for me when I really needed someone.	Tom was like a father to me.
Screw it in tight.	Don't over-tighten the nut.	Tighten the clamp before you start sawing.	Before you screw on the nut, put a washer on it.
Take this aspirin.	I just need some aspirin.	I'd like a packet of aspirin.	Would you like some aspirin?
It was a rush job.	You were in a rush.	I was in a hurry in order not to miss the train.	I am in a hurry to catch the train.
Do it for my sake.	Just do it, god damn it.	Don't just say you'll do it – do it!	Do it, no matter how hard!
Where's this seat?	Where are our seats?	Let's take our seats.	Let's sit in the front row.
Did you salt this?	I do not remember if I have already added salt.	Adding salt greatly improves the flavor.	The addition of salt greatly improved the flavor.
Who voted for him?	They elected him president.	He was elected president with the overwhelming majority of votes.	They agreed to elect him as president.
You look like Tom.	You look just like Tom.	You look a little like Tom.	You look exactly like Tom.
That day is today.	I wish it was today.	Do you know what day it is today?	I wish it were tomorrow already.
It's a fingernail.	That's not my finger!	My finger is fine now.	My arms are fine now.
You're not a girl.	You're lucky you're a girl.	You're lucky you're cute.	You're lucky you're a boy.
We can't find Tom.	We couldn't find Tom.	I couldn't find Tom.	I didn't find Tom.
That's unsanitary.	That's kind of gross.	It's a little nasty.	It's a little scary.
I tried to fix it.	I'll try to repair it.	I'll try to fix it.	I'll try to fix it myself.
I hope this works.	I hope this is going to work.	I hope that that works.	I think that this is going to work.
I was very scared.	I felt very scared.	I was terrified to death.	I was scared to death.
Tom gave me a job.	Tom found a job for me.	Tom was looking for some job and I hired him.	Tom told me that he found a job for me.
Come and sit down.	Please, come in and sit down.	Would you please sit down?	Can I sit down there, please?
It's accelerating.	Not only is the universe expanding, but its expansion is speeding up.	The pace of events is accelerating.	The sweep of the times is changing rapidly.
Her eyes were wet.	Her eyes were moist with tears.	Her eyes shone with tears.	Her eyes began to brim over with tears.
My tears are cold.	I am shivering with cold.	I'm frightfully chilly.	You're shivering. Are you cold?
I can't try it on!	I'd like to try it on.	I'd like to try on this dress.	I'd like to try this on.
Ziri took a break.	Ziri needs to rest for a while.	Ziri needs that time.	Ziri needs all this.
Can Tom come, too?	Does Tom want to come, too?	Does Tom want to come in?	Does Tom still want to come?
They were jealous.	They said they were very jealous.	They said they weren't jealous.	They said they're jealous.
You all drink tea.	We drink our tea with sugar.	Do you put sugar in your tea?	Do you take sugar with your coffee?
Can you play well?	Do you play tennis well?	You're good at tennis, aren't you?	You're a tennis player, aren't you?
Sami went outside.	Sami can come outside.	Sami is in a new environment.	Sami is doing something.
This is Mr Yasuda.	Allow me to introduce to you my friend Yamada.	Let me introduce you to Mr. Tanaka.	Mr Tanaka is a friend of ours.
Ziri made a scene.	Ziri was in trouble.	Ziri was screwed up.	Ziri had a little problem.
Yanni was engaged.	Yanni is getting married this summer.	Yanni hasn't been actively dating.	Dating isn't really Yanni's thing.
Why are you early?	Why are you going so early?	Are you leaving so early?	Why are you leaving early?
Ziri has this app.	Ziri uses Snapchat for that.	Ziri knows how to make a video with this app.	I know that Tom wouldn't be doing that if he didn't know how.
Here's some water.	Here is your water, sir.	I got you some water.	I brought you water.
I have a cut here.	Lend me something to cut this with.	Give me something to cut the rope with!	This rope isn't strong enough.
Should I have one?	Do you think I should buy one of these?	I wonder whether or not I should get one of those.	I wonder if I should get one of those.
Ziri was thinking.	Ziri kept thinking about it.	Ziri had a question.	Ziri asked a few questions.
You may park here.	You may park anywhere.	Is it all right if I park here?	You can park anywhere you want.
You can park here.	You can park anywhere.	They allow parking here.	You may park anywhere you want.
The loaf is small.	The bread is fresh.	The bread's on the table.	The bread isn't fresh.
Tom eats a banana.	Tom wants a banana.	Tom didn't like bananas when he was a kid.	Tom didn't like tomatoes when he was a child.
This one's for me.	This one's for you!	The next one's for you.	This is the next one!
The ring is round.	Whose ring is that?	That's a nice ring.	It is a wonderful ring!
You are a witness.	We've got a witness.	I'm willing to testify.	I'd be willing to lie for you.
We've all got one.	I've got one just like that.	Doesn't everybody have one?	Why don't you have one?
Free the republic!	Tomorrow we shall proclaim a republic.	Today is the end of independence.	Tomorrow is a new day.
Mary never drinks.	Mary never drinks with her students.	Mary never talks about her family.	Mary never talks about her childhood.
You get one guess.	I'll give you three guesses.	I'm not going to play guessing games with you.	Don't make me guess.
You got one right.	You almost got it right.	You have it exactly right.	I think I got it right.
There was rioting.	There were a lot of riots that year.	The riot was completely out of control.	Riots broke out in Boston.
You take this one.	I'm taking this one.	Don't you want to take this one?	Would you like to take this?
What do foxes eat?	Are there many arctic foxes in the tundra?	Are there wolves in Australia?	Lots of wolves are in this area.
Ziri was hesitant.	Ziri is a little nervous.	Ziri felt worried.	Ziri was so anxious.
Ziri left Algiers.	Ziri left the country.	Ziri suddenly left.	Ziri threatened to leave.
That's a good one.	That's a good answer.	I like that answer.	That's a correct answer.
You don't love me.	I know you don't love me.	I don't deserve your love.	I know you aren't capable of love.
Ziri ate raw fish.	Ziri bought a fish.	Ziri is a fisherman.	Ziri went fishing.
Tom wouldn't care.	I think that Tom would be displeased.	I think that Tom would be unenthusiastic about that.	I think that Tom wouldn't be pleased by that.
Tom won't risk it.	Tom isn't going to risk that.	Tom isn't taking any chances.	Tom isn't through doing that yet.
Tom won't make it.	I don't think that Tom will make it.	I'm not sure if Tom will go.	I don't yet know whether Tom can go or not.
Tom won't hurt us.	Tom is going to hurt us.	Tom could hurt you.	Tom is very dangerous.
Tom is free to go.	Tom said he was free.	He told me he was free.	He said that he wasn't free.
Do you see my car?	Have you seen the car that I bought?	Did you buy yourself a new car?	You've bought a car, haven't you?
Tom is in the van.	Tom isn't in the van.	Tom wasn't sitting in the backseat.	Tom isn't in the car.
Tom let Mary talk.	Tom talked to Mary.	Tom came over to talk to Mary.	Tom decided to talk to Mary.
Have you seen one?	You've never seen one before, have you?	I've never actually seen one of these before.	I've never seen anything like that before.
Tom looked closer.	Tom glanced around.	Tom stopped and looked around.	Tom stopped suddenly and looked around.
Tom may have died.	Tom has apparently died.	I suspect that Tom is dead.	I fear Tom is dead.
The meat is tough.	The meat is really tender.	This beef is very nice and tender.	This chicken is very tender.
This is good meat.	The meat looks good.	This is a beautiful piece of meat.	The meat is well done.
Tom might not die.	Tom won't get killed.	Tom will likely die.	Tom is going to get killed.
Tom might've died.	Tom could have fallen to his death.	Tom could have survived.	Tom could have died.
Tom probably died.	Tom is probably dead.	I think Tom is dead.	I suspect Tom is dead.
Tom saw Mary fall.	Tom saw Mary pass out.	Tom said that Mary almost died in the accident.	Both Tom and Mary almost died in the accident.
Ziri is real tiny.	Ziri was pretty small.	Ziri was really big.	Ziri had a big place.
Tom shot the wolf.	A wolf attacked Tom.	A stray dog attacked Tom.	Tom was attacked by a stray dog.
Tom was busy then.	Tom was pretty busy.	Tom was busy at the time.	Tom seemed to be quite busy.
Tom was here then.	I think Tom was here.	I think that Tom is here.	I suspect Tom is here.
Tom was trembling.	Tom was trembling with fear.	Tom seemed to be very scared.	Tom seemed very scared.
Tom went in there.	Tom got inside, somehow.	I saw Tom go inside.	Tom went back inside.
Tom will be sorry.	Tom won't be sorry.	Tom is going to be sorry that he did that.	Tom is going to be sorry he didn't do that.
That is not a lot.	That isn't too much, is it?	That's quite a bit.	That sounds like a lot.
Tom will beat you.	Tom will fight you.	Tom knows better than to fight with you.	Tom doesn't like confrontation.
Tom will enjoy it.	I think Tom will enjoy this.	I think Tom will want to see this.	Tom would love to see this.
Tom will get hurt.	Tom could get hurt.	Tom might be injured.	Tom may have been injured.
Tom will have fun.	Tom will have a great time.	Tom will enjoy it.	I think Tom will love it.
Tom won't confess.	Tom won't forgive himself.	Tom won't ever forgive me.	Tom is never going to forgive me.
Tom won't hurt me.	Tom can't hurt you.	Tom could hurt you.	Tom is going to hurt you.
It's one of those.	It was just one of those things.	It was just bad timing.	I felt that the timing wasn't right.
Ziri walked alone.	Ziri worked alone.	Ziri was stuck here all alone.	Ziri was on his own.
The birds are red.	The birds seem to be having fun.	These birds have different colours.	There are flying birds in the sky.
I copied the link.	I opened the link.	I bookmarked the page.	I bookmarked this website.
Tom was my friend.	Tom was a good friend of mine.	Tom and I were close friends.	Tom and I were friends.
There's no way in.	I can't see a way out.	There's no easy way out of here.	I don't think that there's any way out of here.
Tom put on a coat.	Tom tried a coat on.	Tom put his coat on.	Tom tried putting on the coat.
Let me admire you.	I've admired you for many years.	I have a lot of affection and respect for you.	I have a lot of respect for you.
I've had a coffee.	I just had a cup of coffee.	I just made us some coffee.	I made myself a cup of coffee.
Tom wants to stay.	Tom wants to stick around.	Tom wants to be here.	Tom said he wanted to be here.
Put that box down.	Take that box away!	Help me lift that box.	Excuse me but, would you kindly lift that box for me?
Put that fire out.	I have to put the fire out.	You had better put out the fire before you go to bed.	Please don't forget to put out the fire before you go home.
Put that gun away.	Step away from the gun.	Get that gun out of my face.	I don't want to shoot.
Put that gun down.	Put down the rifle.	Throw out your weapon.	Surrender your weapons.
Put the kettle on.	Put the kettle on the fire.	Bring the water to a boil.	Heat up the water until it boils.
Put the seat back.	Go back to the seat.	Please return to your seats and fasten your seatbelts.	Please return to your seats.
Put up your dukes.	Go to your quarters.	Report to the captain's quarters.	Why don't you return to your quarters?
Put your boots on.	I'm putting on boots.	We put our boots on.	We put our shoes on.
Put out that fire.	We need to extinguish that fire.	I have to put the fire out.	This fire has just gone out.
Put your masks on.	Don't take off your mask.	Don't take off your gloves.	He didn't take off his gloves.
Ziri was fourteen.	Ziri is only fourteen.	Ziri is just four.	Ziri is just fourteen.
Skip that section.	Skip the dull chapters.	Read the fourth chapter by Friday.	Skip the boring chapters.
She's not a thief.	She is no better than a thief.	He is no better than a beggar is.	He is no better than a fool.
Tom's not a thief.	I don't even think Tom is a thief.	Tom denied being a thief.	Tom denied he had anything to do with the theft.
Ziri is just four.	Ziri is just fourteen.	Ziri was actually a teenager when this happened.	Ziri is only fourteen.
The boy is hoeing.	The boy has a hunger for adventure.	The boy has good reflexes.	The boy has grown quite a bit.
They may be right.	It may well be that you're right.	Well, you may be right.	Perhaps you're right.
Ziri is quite big.	Ziri is super tall.	Ziri is much bigger than that.	Ziri was literally six foot tall.
They were serious.	They said they were very serious.	Tom and Mary said they were very serious.	Tom and Mary told me that they were serious.
Let's get dancing.	Come on and dance.	Let's dance, shall we?	You can dance, can't you?
Can you eat these?	Is it safe to eat this?	Would you eat this?	Are you sure it's safe to eat this?
Don't make a fuss.	It's nothing to make a fuss about.	There's nothing to be bothered by.	I'm not bothered at all.
How do I eat this?	How do we eat this?	How did you cook this?	How did you cook this soup?
Put your pants on.	Take off your pants.	Please take off all of your clothes from the waist up.	Take off your clothes!
Who ate my snacks?	Do you know who ate my sandwich?	Who ate the cheese?	He took the cheese.
Open up your mind.	Change your attitude.	Let go of your negative outlook on life.	Try to have a positive attitude about everything.
It's a small burg.	This is a small town.	His town is so small.	Tom lives in a very small town.
Ziri is a witness.	Ziri is on the case.	Ziri is in trouble.	Ziri is in a bad situation.
I opened the link.	I can't open the link.	I didn't click the link.	The link you sent me is broken.
Tom keeps secrets.	Tom can't keep a secret.	It's hard to keep a secret from Tom.	Tom knows how to keep a secret.
Ziri left at noon.	Layla left school at noon.	Layla took her daughter to school.	Layla wanted to go back to school.
We kept it secret.	We had to keep it a secret.	I kept it a secret.	You did well to keep the secret.
Ziri just stopped.	Ziri was finished.	Ziri wanted to end that.	Ziri was finally gone.
Ziri hurried home.	Ziri decided to come back home.	Ziri was coming back.	He said he was coming back.
I'm a determinist.	Some people say I'm unpredictable.	My wife is very unpredictable.	You're very unpredictable.
No one was crying.	Tom didn't cry at all.	She didn't cry at all.	Tom doesn't ever cry.
Ziri was bluffing.	Ziri wasn't thinking straight.	Ziri needs to think again.	Ziri has got a problem.
Nobody was crying.	Tom didn't cry at all.	She didn't cry at all.	Tom definitely didn't cry.
I like your beard.	Do you like my beard?	Can I touch your beard?	Can you scratch my back?
Mary is desperate.	Mary is desperate, isn't she?	Mary is trying her best, isn't she?	Mary is trying very hard, isn't she?
Ziri got grounded.	Ziri was kicked out.	Ziri will be kicked out.	Ziri actually got kicked out.
That's a big help.	That's real helpful.	I'm sure that was helpful.	That was very helpful.
Ziri wasn't right.	Ziri wasn't thinking straight.	Ziri needs to think again.	Ziri needs to see what's up.
I won't shoot you.	I don't want to have to shoot you.	Please don't shoot me.	I don't want to be shot.
We can't help you.	We're sorry we can't help you.	We're sorry we weren't able to help.	We're sorry we're not able to help.
Who's helping you?	Who told you I'd help you?	You told me that you'd help.	You said you'd help me.
Is this real silk?	It feels like silk.	Silk is very precious.	This silk feels smooth.
There were errors.	There are known errors and omissions.	I suspect that there was an oversight in the examination.	Something could have been overlooked.
Don't be so petty.	By no means is he petty.	Tom can be quite petty at times.	Tom is a very temperamental guy.
Tom used to drink.	Tom used to be a heavy drinker.	I know that Tom is a heavy drinker.	I know that Tom is a binge drinker.
My cat loves milk.	The cat drinks milk.	Mary gave her cat some milk.	The cat drank his milk.
OK, I'm convinced.	You've convinced me.	Didn't I convince you?	You've already convinced me.
Tom was very hurt.	Tom is badly hurt.	Tom seemed to be hurt.	Tom is badly injured.
He lied by intent.	He lied about the matter.	He told me that he'd lied.	He admitted that he had lied to me.
I see through you.	I can see you with my eyes.	I can see what I need to see.	I can see the light.
I shot and missed.	I aimed my gun at the target.	I fired three shots.	He pointed his weapon at me.
She writes novels.	She's a successful novelist.	She is a short story writer.	She's a successful businesswoman.
Yes, by all means.	I'd say yes, of course.	I definitely think so.	I certainly would hope so.
Can I see Tom now?	Can I see Tom today?	Are you going to see Tom tomorrow?	Aren't you going to see Tom this afternoon?
Tom got emotional.	Tom got all emotional.	Tom burst out crying.	Tom started crying like a baby.
Tom got flustered.	Tom became a little flustered.	Tom seemed a bit confused.	Tom seemed somewhat confused.
Tom got irritated.	Tom seemed to be irritated.	Tom became very irritated.	Tom was really irritated.
Tom got very busy.	Tom was very, very busy.	Tom looked very busy.	Tom was clearly very busy.
Ziri had to fight.	Ziri was in a fight and lost.	What was going on with Ziri?	Ziri was messed up.
Why are you alone?	Why are you sitting there all by yourself?	Why aren't you sitting down?	Why don't you just sit down?
Tom got very cold.	Tom suddenly felt cold.	I noticed Tom was shivering.	Tom shivered slightly.
Tom got very lost.	Tom was clearly lost.	Tom told me that he was lost.	Tom is clearly lost.
Tom got very rich.	Tom became quite wealthy.	Tom accumulated a large fortune.	Tom seemed to be wealthy.
I speak the truth.	I swear by God that I will speak the truth.	Be assured, however, I shall tell you the whole truth.	Please promise me that you'll never lie again.
They're not lying.	Are you sure they are not lying?	They told me they'd lied.	They told me they were mistaken.
Tom got very weak.	Tom wasn't very strong.	Tom wasn't very tough.	Tom wasn't a strong man.
You weren't lying.	I didn't lie to you.	You didn't have to lie.	You don't need to lie.
Tom grinned at me.	Tom looked at me and smiled.	I gave Tom a smile.	Tom looked at us and smiled.
Tom is a lazy boy.	Tom is a lazy person.	Tom is inclined to be lazy.	Tom is quite lazy.
Tom is a lazy bum.	Tom is a lazy boy.	Tom isn't a lazy boy. As a matter of fact, he works hard.	Tom is a very lazy boy.
Tom is at the gym.	Tom went to the gym to exercise.	Tom told me he was going to the gym.	Tom started going to the gym.
Tom is going away.	Tom is just leaving.	Tom is going to have to leave soon.	I think Tom is about to leave.
She was not lying.	She told the truth.	She told the story as candidly as possible.	Somebody told her the whole truth.
Tom is just tired.	Tom is pretty tired.	Tom looks really tired.	Tom looks a little tired.
You are not lying.	I don't think you're lying.	I know you aren't lying.	I know that you're not lying.
Ziri hates school.	Ziri hates teenagers.	Ziri hates women like that.	Ziri is a womanizer.
Tom is kicking me.	Tom is hurting me.	Tom is starting to annoy me.	Tom is beginning to irritate me.
Tom is pretty bad.	Tom isn't as bad as you think.	Tom isn't really such a bad person.	I don't think Tom's a bad person.
Tom is scaring me.	I'm a bit scared of Tom.	Are you afraid of Tom too?	Are you scared of Tom?
Tom is sick today.	Tom has been sick.	Tom seems to be ill.	Tom might be seriously ill.
Tom isn't singing.	Tom doesn't ever sing.	Tom isn't very good at singing.	Tom can't sing well.
They have to lose.	They've said they can't win.	They said that they won't win.	They've said they won't win.
Tom got desperate.	Tom seemed to be desperate.	Tom said that he was desperate.	Tom said he felt desperate.
He stayed up late.	He often used to stay up until late at night.	He made us work till late at night.	He was at work till late at night.
Layla nearly died.	Layla was beaten to death.	Layla died in prison of a heat attack.	Layla was shot dead in her house.
Is that Tom's hat?	Is that the hat Tom gave you?	Is this what you gave Tom?	You offered Tom a gift, didn't you?
Is that Tom's son?	That boy is Tom's son.	Tom's oldest son looks just like him.	Tom's children all look alike.
Is that car Tom's?	Isn't that Tom's car?	This is Tom's car, I think.	That car belongs to Tom.
The king must die.	The king is dead, long live the king!	The nation mourned the death of the king.	Long live the king!
